id,pos_variation,tweet,score
1,Wearing a Face Mask,WEAR A MASK #coronavirus HTTPURL,0.55709
1,Wearing a Face Mask,Wear . A . Mask . #Covid_19 HTTPURL,0.49145052
1,Wearing a Face Mask,@USER Put a mask on #CoronaVirus HTTPURL,0.46805972
1,Wearing a Face Mask,What a waste #coronavirus,0.46333772
1,Wearing a Face Mask,Wear a mask . That is all . #COVID19 #WearAMask,0.46301234
1,Wearing a Face Mask,#Coronavirus Stay Safe,0.4622022
1,Wearing a Face Mask,Friendly PSA : Wear a Mask . #COVID19 HTTPURL,0.46150813
1,Wearing a Face Mask,Project face wear #Coronavirus,0.4568257
1,Wearing a Face Mask,Way of the mask #COVID19 HTTPURL,0.45306492
1,Wearing a Face Mask,New mask ! #mask #covid19 #science HTTPURL,0.4512884
1,Wearing a Face Mask,A #facemask is better than a #ventillator ... #COVID19 HTTPURL,0.45011157
1,Wearing a Face Mask,Stay home #Coronavirus,0.44790232
1,Wearing a Face Mask,"We need a federal mask mandate . If you are out in public , you are wearing a mask . #Covid_19",0.4444451
1,Wearing a Face Mask,new normal #COVID19 HTTPURL,0.44290084
1,Wearing a Face Mask,Who is wearing a mask out ? :face_with_medical_mask: #coronavirus #SaferAtHome,0.4426885
1,Wearing a Face Mask,Use mask :face_with_medical_mask: #COVID-19 #StayHome HTTPURL,0.44194865
1,Wearing a Face Mask,BEST . MASK . EVER . #Corona HTTPURL,0.44034076
1,Wearing a Face Mask,Social Distancing #COVID19 HTTPURL,0.43965548
1,Wearing a Face Mask,Wow so president Trump refuses to wear a mask but everyone else has to ? #Covid19,0.4378217
1,Wearing a Face Mask,People who recognize you while wearing a face mask are Annoying :neutral_face: #Covid_19 :face_with_medical_mask:,0.43456966
1,Wearing a Face Mask,#coronavirus I am so sick and tired of seeing videos online of people getting angry and fighting people for being asked to wear a face mask . My face mask protects you and your face mask protects me . Just wear a damn face mask . #MasksSaveLives #MaskUp #mask,0.43052295
1,Wearing a Face Mask,Stay the fuck at home #COVID19 HTTPURL,0.4302875
1,Wearing a Face Mask,Why Masks ? #COVID19 HTTPURL,0.4278233
1,Wearing a Face Mask,If I told you wearing your mask is a life or death situation would you wear all the time ? #coronavirus HTTPURL,0.426502
1,Wearing a Face Mask,So Bolsonaro tested positve to #COVID19 and is still not wearing a mask,0.4262431
1,Wearing a Face Mask,How can a paper thin mask protect you from the #coronavirus,0.4246083
1,Wearing a Face Mask,Our Design #fashionfacemask #washablefacemask #COVID19 HTTPURL,0.42363983
1,Wearing a Face Mask,Got my mask #CoronaVirus #Mask #COVID19 HTTPURL,0.42218274
1,Wearing a Face Mask,"WEAR N95 MASK , WEAR FACE SHIELD , WEAR GLOVES , MAINTAIN SOCIAL DISTANCING #Covid_19",0.42196614
1,Wearing a Face Mask,All this is getting a little too much #Coronavirus,0.42177838
1,Wearing a Face Mask,#Coronavirus be safe,0.42088714
1,Wearing a Face Mask,Attention all anti-maskers . #COVID19 HTTPURL,0.4204443
1,Wearing a Face Mask,#COVID19 has a lot to answer for :face_with_tears_of_joy:,0.4203182
1,Wearing a Face Mask,Wear your mask . Wash your hands . #StaySafe #COVID19 HTTPURL,0.41967055
1,Wearing a Face Mask,Do not touch your face .. #coronavirus,0.4196207
1,Wearing a Face Mask,WEAR A FUCKING MASK ! #COVID19 #BLM #BreonnaTaylor HTTPURL,0.41944987
1,Wearing a Face Mask,I need this face mask :face_with_tears_of_joy: :face_with_tears_of_joy: #COVID19 #day37oflockdown HTTPURL,0.41911447
1,Wearing a Face Mask,Real thugs wear mask too :face_with_medical_mask: #coronavirus,0.4189835
1,Wearing a Face Mask,Just saying #COVID19 #StayHome HTTPURL,0.4186673
1,Wearing a Face Mask,Wearing a mask is not about freedom . It 's about health . Like a cpap or oxygen mask . #WearAMask #covid19 HTTPURL,0.41496232
1,Wearing a Face Mask,Please always use a face mask . #coronavirus #Covid_19 @USER HTTPURL,0.41474557
1,Wearing a Face Mask,Getting snacks #covid19 HTTPURL,0.41347605
1,Wearing a Face Mask,Anyone have a recommendation for non surgical face masks ? #coronavirus #California,0.41346833
1,Wearing a Face Mask,Wait fuck that #coronavirus,0.4132471
1,Wearing a Face Mask,:face_with_medical_mask: to slow down #COVID19 trtransmission HTTPURL,0.41323718
1,Wearing a Face Mask,My poor baby girl #Covid_19 HTTPURL,0.41316643
1,Wearing a Face Mask,Now that 's a face mask #COVID #deadmansshoes #southerncasuals HTTPURL,0.41247395
1,Wearing a Face Mask,"Pro tip : if your nose is not inside your mask , then you might as well not wear a mask . #covid",0.4110105
1,Wearing a Face Mask,I need a Bane mask to protect me from #Covid_19 . HTTPURL,0.41096938
1,Wearing a Face Mask,#COVID19 is real Stay safe ! HTTPURL,0.41081256
1,Wearing a Face Mask,Facepalm Sunday . #coronavirus HTTPURL,0.41001683
1,Wearing a Face Mask,Happy Sunday #covid19 HTTPURL,0.40985993
1,Wearing a Face Mask,"Maybe I 'm a bit thick , so can someone please explain to me ... why there would be any objection to wearing a mask in public ? Genuine question #Covid_19 #facemask",0.40962127
